average_funded,total_rounds,average_participants,products_number,offices,mba_degree,other_degree,age,ipo_True,is_closed_True,is_acquired_True
1960000.0,1,0.0,1.0,1.0,1.0,3.0,365.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,4.0,3593.0,0,0,0
17400000.0,1,3.0,1.0,1.0,1.0,2.0,4018.0,0,0,0
23500000.0,2,2.5,1.0,1.0,2.0,3.0,2922.0,0,0,0
4266666.6667,3,1.0,1.0,2.0,1.0,11.0,1366.0,0,0,1
12000.0,1,1.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
22274927.0,1,1.0,1.0,3.0,2.0,2.0,6575.0,0,0,0
300000.0,2,0.0,1.0,1.0,1.0,1.0,731.0,0,0,0
425000.0,2,0.5,1.0,2.0,1.0,3.0,1461.0,0,1,0
750000.0,1,3.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
25000.0,1,1.0,1.0,1.0,1.0,3.0,2192.0,0,0,0
235000.0,1,0.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
500000.0,1,1.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
420000.0,1,0.0,1.0,1.0,1.0,3.0,2557.0,0,0,0
100000.0,1,2.0,1.0,1.0,1.0,3.0,185.0,0,0,0
8571.0,1,1.0,1.0,1.0,1.0,3.0,1065.0,0,0,0
300000.0,1,0.0,1.0,1.0,1.0,3.0,2870.0,0,0,0
257500.0,2,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1993000.0,2,1.5,1.0,1.0,1.0,2.0,1826.0,0,0,0
12700000.0,5,2.8,1.0,1.0,3.0,9.0,5114.0,0,0,0
6300000.0,4,4.0,2.0,1.0,2.0,8.0,2620.0,0,0,1
800000.0,1,0.0,1.0,1.0,1.0,3.0,3653.0,0,0,0
2250000.0,1,0.0,1.0,1.0,1.0,3.0,3287.0,0,0,0
1960000.0,1,1.0,1.0,2.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
250000.0,1,0.0,1.0,1.0,1.0,3.0,1461.0,0,0,0
12650000.0,2,3.5,1.0,1.0,1.0,3.0,2876.0,0,0,1
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
500000.0,1,0.0,1.0,1.0,1.0,3.0,1461.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1404178.5,2,1.5,1.0,1.0,1.0,3.0,731.0,0,0,0
3500000.0,5,3.4,1.0,1.0,1.0,3.0,3287.0,0,0,0
8250000.0,4,3.0,1.0,2.0,1.0,10.0,2705.0,0,1,0
13000000.0,4,2.25,1.0,1.0,1.0,3.0,4932.0,0,1,0
150000.0,2,1.0,3.0,1.0,2.0,2.0,1826.0,0,0,0
20000.0,1,1.0,1.0,1.0,1.0,3.0,731.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
487000.0,1,0.0,1.0,1.0,1.0,3.0,6575.0,0,0,0
1448700.0,1,0.0,1.0,1.0,1.0,3.0,2588.0,0,0,0
170604000.0,1,4.0,1.0,3.0,1.0,3.0,1629.0,0,1,0
12500000.0,1,0.0,1.0,1.0,1.0,3.0,4383.0,0,0,0
25000.0,1,2.0,1.0,1.0,1.0,3.0,1280.0,0,0,0
37333333.3333,3,4.3333,1.0,1.0,1.0,4.0,1826.0,0,0,0
5356230.0,2,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,0.0,1.0,1.0,1.0,3.0,477.0,0,0,0
30000000.0,1,8.0,1.0,1.0,7.0,15.0,5276.0,0,0,1
36631552.0,11,1.3636,2.0,1.0,4.0,19.0,5479.0,0,0,0
2001730.6667,3,0.0,1.0,1.0,1.0,3.0,2922.0,0,1,0
1960000.0,1,1.0,1.0,1.0,1.0,1.0,2253.0,0,1,0
500000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
850000.0,1,3.0,1.0,1.0,1.0,2.0,1826.0,0,0,0
8000000.0,2,3.0,2.0,1.0,1.0,1.0,1979.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,3166.0,0,0,0
11300000.0,2,3.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
14450.0,1,1.0,1.0,1.0,1.0,3.0,1051.0,0,0,0
1000000.0,1,7.0,1.0,1.0,2.0,3.0,1096.0,0,0,0
130000.0,1,1.0,1.0,1.0,1.0,3.0,1006.0,0,0,0
2480000.0,4,0.0,1.0,2.0,1.0,1.0,2557.0,0,0,0
785000.0,3,1.6667,1.0,2.0,1.0,4.0,1096.0,0,0,0
19102500.0,1,0.0,1.0,2.0,1.0,3.0,2922.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,5114.0,0,0,0
4166666.6667,3,0.0,1.0,1.0,2.0,7.0,5114.0,0,0,0
1300000.0,2,0.5,1.0,2.0,1.0,1.0,2703.0,0,0,0
562500.0,2,0.5,1.0,1.0,1.0,5.0,2557.0,0,0,0
300000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
250000.0,1,0.0,1.0,1.0,1.0,1.0,334.0,0,0,0
2930000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
847550.0,2,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
10000000.0,1,0.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
600000.0,1,0.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
87500.0,3,1.0,1.0,1.0,1.0,3.0,487.0,0,0,0
100000.0,1,1.0,1.0,2.0,1.0,3.0,823.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1006.0,0,0,0
13000000.0,1,1.0,1.0,1.0,1.0,3.0,1134.0,0,0,0
42500.0,2,0.5,1.0,1.0,1.0,2.0,1006.0,0,0,0
3139101.5,2,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
9500000.0,1,1.0,1.0,1.0,1.0,3.0,3653.0,0,0,0
250000.0,1,0.0,1.0,1.0,1.0,3.0,945.0,0,0,0
350000.0,1,0.0,1.0,1.0,1.0,3.0,5196.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
1000000.0,1,0.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
26838316.0,5,2.4,3.0,8.0,8.0,26.0,2557.0,0,0,0
1250000.0,4,1.5,1.0,1.0,1.0,2.0,2101.0,0,0,0
19294500.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
12000000.0,1,0.0,1.0,1.0,1.0,2.0,2557.0,0,0,0
649000.0,2,0.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
1800000.0,2,2.5,1.0,1.0,1.0,5.0,1096.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,3287.0,0,0,0
15000000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
7638747.0,2,0.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
291666.6667,3,0.0,1.0,2.0,1.0,7.0,1461.0,0,0,0
1470000.0,5,1.4,1.0,3.0,2.0,4.0,2306.0,0,0,0
1500000.0,1,4.0,1.0,1.0,1.0,3.0,5479.0,0,0,0
1170000.0,1,2.0,1.0,1.0,1.0,3.0,1826.0,0,1,0
50544.0,1,0.0,3.0,1.0,1.0,3.0,2235.0,0,0,0
1000000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
972935.0,1,0.0,1.0,2.0,1.0,3.0,976.0,0,0,0
10000000.0,1,4.0,2.0,2.0,1.0,1.0,4748.0,0,0,0
